image_name,original_num_detections,inpainted_num_detections,detection_drop,detection_removal_rate,original_avg_confidence,inpainted_avg_confidence,avg_confidence_drop,original_max_confidence,inpainted_max_confidence,max_confidence_drop,all_detections_removed,partial_removal
s_1854_jpg.rf.af5319e34207870d1eae19430fbb887a.jpg,1,1,0,0.0,0.46144822239875793,0.4024166166782379,0.05903160572052002,0.46144822239875793,0.4024166166782379,0.05903160572052002,0,0
s_2179_jpg.rf.a8136cb626d46964997356f3a8228d26.jpg,1,0,1,1.0,0.8932653069496155,0.0,0.8932653069496155,0.8932653069496155,0.0,0.8932653069496155,1,0
s_2193_jpg.rf.6c934b44d2f2db50f1ade85cb04e38dc.jpg,0,1,-1,0.0,0.0,0.47239255905151367,-0.47239255905151367,0.0,0.47239255905151367,-0.47239255905151367,0,0
s_2227_jpg.rf.0787b1b28b530176b9767fddd3d7a16f.jpg,2,0,2,1.0,0.7766579687595367,0.0,0.7766579687595367,0.8146921396255493,0.0,0.8146921396255493,1,0
s_2233_jpg.rf.40a8585fb6f3465f69a049112fe6e9cc.jpg,1,0,1,1.0,0.8031949996948242,0.0,0.8031949996948242,0.8031949996948242,0.0,0.8031949996948242,1,0
s_2352_jpg.rf.be3f93e883ef15174fd44a6b91e9a95b.jpg,1,0,1,1.0,0.7438514828681946,0.0,0.7438514828681946,0.7438514828681946,0.0,0.7438514828681946,1,0
s_2391_jpg.rf.c114fd1d94a9d17212d176f4ca71b2d3.jpg,1,0,1,1.0,0.8185248970985413,0.0,0.8185248970985413,0.8185248970985413,0.0,0.8185248970985413,1,0
s_2568_jpg.rf.1a5f1a910b2bce46243e35b52ec590b8.jpg,3,0,3,1.0,0.5123138229052225,0.0,0.5123138229052225,0.6712765693664551,0.0,0.6712765693664551,1,0
s_2596_jpg.rf.c54601a001cf453917b7a52d91ee6e08.jpg,1,1,0,0.0,0.8289040327072144,0.35353049635887146,0.4753735363483429,0.8289040327072144,0.35353049635887146,0.4753735363483429,0,0
s_2608_jpg.rf.5abef3e6751cf94196b99aab44b4917e.jpg,1,0,1,1.0,0.6712021827697754,0.0,0.6712021827697754,0.6712021827697754,0.0,0.6712021827697754,1,0
s_268_jpg.rf.e5e58f259324d902f41500603243760f.jpg,1,2,-1,-1.0,0.7600905895233154,0.6090723723173141,0.15101821720600128,0.7600905895233154,0.7666783928871155,-0.006587803363800049,0,0
s_2810_jpg.rf.baa748a920ecb9eb3289b26a59d82ad9.jpg,1,1,0,0.0,0.8333384394645691,0.7968316674232483,0.0365067720413208,0.8333384394645691,0.7968316674232483,0.0365067720413208,0,0
s_2959_jpg.rf.1b5708c9f9177ee10cc3b7aed903d6d5.jpg,1,0,1,1.0,0.8665083050727844,0.0,0.8665083050727844,0.8665083050727844,0.0,0.8665083050727844,1,0
s_2970_jpg.rf.df32a7ae85d491f7efd683ad77804553.jpg,1,1,0,0.0,0.8493700623512268,0.602208137512207,0.24716192483901978,0.8493700623512268,0.602208137512207,0.24716192483901978,0,0
s_321_jpg.rf.492bbea7376b5b83a65bfddb6613b992.jpg,1,0,1,1.0,0.8690246343612671,0.0,0.8690246343612671,0.8690246343612671,0.0,0.8690246343612671,1,0
s_679_jpg.rf.ee6b72b69e8d8c51ef9344b764a3ab81.jpg,0,1,-1,0.0,0.0,0.641638457775116,-0.641638457775116,0.0,0.641638457775116,-0.641638457775116,0,0
s_730_jpg.rf.d0324a54205fa727801d1bf105775bf5.jpg,2,1,1,0.5,0.755549967288971,0.534975528717041,0.22057443857192993,0.7622981667518616,0.534975528717041,0.22732263803482056,0,1
s_876_jpg.rf.ab94bbb622998fe68e5d7fae71f7624a.jpg,1,0,1,1.0,0.7271373867988586,0.0,0.7271373867988586,0.7271373867988586,0.0,0.7271373867988586,1,0
s_877_jpg.rf.43367177c31d944a578575eb78e77a27.jpg,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
s_888_jpg.rf.91355637e0f4c2db322650a5b7a02693.jpg,2,0,2,1.0,0.6424285173416138,0.0,0.6424285173416138,0.6672364473342896,0.0,0.6672364473342896,1,0
s_902_jpg.rf.ab165fa89c77d617e167aeaefd064afe.jpg,1,0,1,1.0,0.6237920522689819,0.0,0.6237920522689819,0.6237920522689819,0.0,0.6237920522689819,1,0
stock-photo-adorable-squirrel-running-stones-pond_jpg.rf.cd1e7f13b52b37282c25b254c2614eae.jpg,1,0,1,1.0,0.8525587916374207,0.0,0.8525587916374207,0.8525587916374207,0.0,0.8525587916374207,1,0
stock-photo-bottom-view-adorable-squirrel-sitting_jpg.rf.08c996a13c382782bee838d80fb61b06.jpg,1,0,1,1.0,0.7573264837265015,0.0,0.7573264837265015,0.7573264837265015,0.0,0.7573264837265015,1,0
